WeatherCondition,TrafficCongestion,DistanceRemaining,Time_Taken_Hours
Storm,Low,1286.9,88.66
Clear,Low,213.8,5.98
Rain,High,1346.3,85.77
Rain,Low,782.2,31.07
Fog,High,687.8,46.09
Storm,Medium,186.0,16.31
Fog,Medium,824.0,41.25
Storm,High,1130.7,107.41
Snow,High,1008.1,95.44
Snow,High,612.7,48.6
Fog,High,284.4,18.61
Clear,Medium,22.2,0.72
Rain,Jam,123.5,9.94
Clear,Medium,943.7,29.04
Fog,Low,1271.1,47.54
Rain,Medium,1053.0,50.35
Clear,Medium,368.9,13.3
Fog,Low,800.3,30.41
Storm,High,972.3,114.71
Clear,Low,898.0,24.7
Clear,Low,1189.0,32.51
Storm,Low,1453.0,97.66
Clear,Medium,1371.1,45.44
Fog,High,117.5,6.69
Fog,High,1256.9,71.15
Fog,Jam,1050.4,86.15
Clear,Medium,477.4,14.53
Rain,Jam,831.0,69.92
Storm,High,841.8,85.36
Rain,Medium,111.4,5.42
Snow,Jam,372.4,45.49
Snow,High,250.8,18.12
Storm,Jam,708.8,86.14
Clear,Medium,121.5,4.11
Storm,Low,112.1,8.46
Storm,High,1048.9,111.49
Snow,Medium,105.0,6.61
Rain,Medium,252.4,10.98
Clear,High,1054.1,45.39
Fog,Jam,649.2,61.94
Rain,High,862.0,52.26
Fog,Jam,1362.6,131.39
Fog,Medium,560.1,27.36
Clear,Low,9.7,0.27
Snow,Jam,1232.1,118.81
Storm,Medium,1456.3,89.79
Fog,Jam,616.5,58.45
Storm,Jam,230.6,34.49
Rain,Low,1432.5,58.18
Snow,Medium,1329.8,79.02
Storm,Low,929.3,69.34
Rain,Medium,1172.8,53.52
Storm,Medium,743.2,54.29
Snow,Medium,283.2,17.74
Rain,Medium,227.6,9.65
Clear,Jam,418.3,25.1
Snow,Low,296.3,14.2
Rain,Low,110.9,4.28
Storm,Jam,927.2,100.32
Clear,High,1168.9,56.21
Storm,Medium,312.1,24.51
Snow,Jam,1345.7,155.04
Clear,Low,652.0,19.59
Fog,High,924.5,59.5
Storm,Low,571.2,35.68
Clear,Low,761.0,22.06
Fog,High,565.0,39.0
Fog,Jam,511.0,43.08
Clear,High,121.8,5.95
Storm,Low,1389.9,66.96
Rain,Low,752.1,27.94
Rain,Medium,1394.5,65.99
Rain,Medium,994.8,45.39
Snow,Medium,468.1,27.51
Storm,Medium,1049.2,89.38
Rain,Low,1149.3,43.23
Fog,Jam,97.1,9.52
Snow,High,184.0,15.06
Clear,High,310.3,16.52
Storm,Jam,216.8,28.18
Clear,Medium,878.5,30.17
Snow,Jam,883.9,102.09
Storm,Medium,417.7,26.75
Snow,Low,381.7,18.37
Storm,Jam,1492.3,169.58
Fog,Medium,973.1,56.72
Rain,High,924.5,64.36
Storm,Jam,423.6,53.69
Rain,High,974.3,62.52
Storm,Medium,681.6,47.17
Clear,Medium,314.1,9.28
Snow,Low,1484.2,71.11
Snow,Medium,1042.7,61.79
Rain,Jam,1282.3,134.65
Clear,Medium,288.5,9.7
Clear,Jam,506.9,29.74
Clear,High,1357.6,62.49
Storm,Jam,429.7,53.23
Storm,High,766.6,57.72
Storm,Jam,301.7,46.53
Rain,High,1091.0,63.06
Storm,Medium,1316.3,100.55
Snow,High,203.5,16.34
Clear,Jam,12.4,0.8
Clear,Medium,402.2,14.41
Storm,High,1473.4,118.16
Fog,High,255.5,15.26
Rain,Jam,857.6,67.24
Clear,High,438.6,20.24
Snow,Low,1474.1,71.69
Snow,High,860.4,84.24
Rain,Medium,718.7,33.37
Rain,Low,540.6,22.6
Fog,Medium,1303.5,60.78
Storm,Medium,424.0,29.29
Storm,Low,610.2,45.48
Fog,Jam,1383.0,150.55
Storm,Jam,1178.0,133.29
Clear,Low,512.3,15.13
Rain,Jam,144.4,11.09
Rain,Medium,1157.4,49.09
Clear,Low,477.6,13.5
Storm,Jam,106.2,12.98
Rain,Medium,1173.1,60.94
Storm,Low,466.7,23.84
Clear,High,393.5,16.48
Storm,Jam,991.0,122.29
Fog,Low,154.1,6.07
Fog,High,464.0,30.72
Snow,Medium,414.9,29.17
Snow,Low,224.2,10.62
Storm,Jam,256.0,33.8
Clear,Medium,1325.9,44.32
Rain,High,1431.2,89.7
Storm,High,623.7,58.24
Fog,Medium,1048.8,50.25
Rain,Low,40.2,1.72
Snow,Jam,835.8,100.83
Snow,Medium,303.7,16.36
Storm,High,1075.8,97.81
Storm,Low,230.1,15.03
Fog,Medium,471.7,23.9
Fog,Low,354.0,14.49
Clear,Low,1020.2,26.95
Rain,Medium,869.4,36.06
Snow,High,1078.9,81.87
Rain,Medium,477.1,20.59
Snow,Low,439.8,22.53
Fog,Medium,646.1,30.91
Snow,High,869.9,68.13
Rain,Low,333.0,12.54
Rain,Jam,196.0,15.1
Fog,Medium,803.0,42.26
Rain,Low,308.5,12.47
Snow,Medium,115.5,6.82
Clear,High,1078.8,39.36
Clear,Medium,484.0,15.32
Fog,Jam,420.2,45.17
Snow,High,716.2,68.04
Fog,Medium,155.7,8.94
Snow,Low,773.2,36.08
Fog,Low,55.4,2.3
Rain,Low,37.5,1.56
Fog,Jam,297.1,31.01
Fog,Medium,1088.0,60.1
Snow,High,528.4,47.25
Storm,Low,1225.7,72.89
Rain,High,993.6,58.39
Clear,High,1083.8,53.67
Snow,Low,1177.9,58.49
Rain,Medium,436.3,20.43
Storm,High,380.4,32.56
Clear,Medium,243.1,9.25
Storm,Jam,478.1,71.48
Rain,Medium,1077.4,52.9
Clear,High,777.8,32.57
Snow,High,86.3,8.0
Storm,Low,870.1,57.22
Storm,Medium,698.3,53.91
Clear,High,553.6,21.74
Rain,Jam,1049.1,96.75
Fog,High,64.4,3.93
Clear,Low,1336.2,36.82
Rain,Medium,263.4,11.43
Storm,Jam,299.4,36.29
Fog,High,76.3,5.18
Clear,Jam,52.8,3.09
Fog,Medium,720.1,40.37
Clear,Jam,665.4,42.95
Snow,Medium,1447.0,99.79
Fog,High,708.9,50.23
Rain,Low,1224.0,42.78
Fog,Low,1061.4,48.68
Storm,Low,1334.0,85.01
Fog,High,1049.8,66.77
Clear,Jam,1070.0,67.46
Clear,Medium,267.4,9.8
Clear,Medium,1010.1,31.12
Snow,Jam,1493.3,183.49
Storm,High,110.8,9.91
Storm,Jam,348.0,41.67
Rain,Low,125.3,5.38
Storm,High,681.6,55.8
Clear,Medium,1084.6,31.87
Fog,High,338.2,18.62
Clear,Low,1241.0,36.57
Fog,High,111.9,6.92
Rain,Medium,1008.2,48.05
Fog,Medium,522.7,24.25
Clear,High,382.4,16.31
Snow,Medium,56.0,3.72
Snow,Medium,123.9,8.11
Storm,Medium,486.7,36.33
Clear,High,891.5,36.79
Clear,Low,1222.9,40.04
Fog,High,506.2,31.37
Clear,High,573.0,28.03
Storm,Medium,231.7,15.74
Snow,Medium,157.8,10.73
Storm,High,914.5,77.82
Rain,Medium,266.8,11.58
Rain,Low,1211.1,44.57
Clear,Medium,1328.6,49.49
Clear,Jam,493.3,31.76
Storm,High,1413.1,145.9
Storm,Jam,1194.2,169.34
Snow,Low,594.3,33.36
Storm,Low,760.4,56.68
Rain,High,1179.0,71.97
Storm,Medium,806.3,61.21
Storm,Medium,1358.9,99.53
Storm,High,62.0,6.14
Fog,Low,1262.1,56.31
Clear,High,1414.9,53.29
Fog,High,1297.1,101.04
Clear,High,1460.4,54.3
Rain,High,924.7,55.43
Clear,Jam,348.3,24.1
Rain,Jam,378.0,33.81
Fog,Jam,797.0,65.7
Storm,High,1387.8,151.76
Storm,Low,1081.0,76.25
Clear,Jam,87.6,5.24
Snow,Medium,732.6,45.2
Snow,Medium,1095.1,71.14
Snow,Medium,1495.6,93.78
Clear,Low,1308.0,32.35
Snow,Jam,1356.7,139.63
Rain,Jam,993.0,82.33
Rain,Medium,747.4,38.78
Storm,Low,484.3,26.6
Rain,Medium,534.0,21.89
Clear,Medium,283.7,9.62
Storm,Low,1067.2,62.77
Clear,Jam,892.9,50.29
Fog,High,28.8,1.98
Fog,High,200.6,13.38
Clear,Medium,1210.0,43.06
Storm,Jam,780.7,104.99
Storm,Medium,1377.9,98.8
Rain,Medium,794.5,36.37
Storm,Medium,1203.0,97.16
Fog,Jam,507.1,42.9
Snow,Medium,46.3,2.45
Storm,Jam,580.0,92.69
Rain,High,47.0,2.79
Snow,Medium,256.9,14.7
Storm,Low,964.8,54.17
Storm,Low,793.5,45.6
Snow,Medium,862.7,53.41
Snow,Medium,830.5,52.69
Rain,Low,1425.1,59.74
Rain,High,1440.3,98.68
Rain,High,1284.9,86.14
Snow,Jam,1005.9,95.71
Rain,High,1462.0,87.45
Fog,High,294.5,18.19
Clear,Medium,147.7,5.04
Rain,Low,851.5,31.82
Fog,Medium,1002.0,43.8
Snow,High,1315.3,110.15
Snow,Medium,163.2,8.66
Rain,High,1228.4,74.65
Clear,High,615.0,26.48
Rain,Medium,567.5,25.08
Snow,Low,1297.4,57.12
Snow,Jam,500.2,53.03
Clear,Medium,832.8,26.87
Fog,Jam,57.8,4.26
Fog,Low,151.6,6.68
Snow,Low,792.3,38.78
Clear,Low,131.2,4.17
Snow,Medium,591.7,39.93
Storm,Jam,344.5,38.04
Rain,High,1158.1,69.77
Rain,High,1050.1,62.09
Rain,Jam,490.2,43.82
Fog,High,1202.1,78.41
Storm,Low,1110.5,64.12
Snow,Low,611.4,26.29
Rain,High,198.7,10.93
Rain,High,469.7,27.65
Clear,Low,1133.3,34.08
Rain,Jam,731.6,66.9
Storm,Medium,1219.9,99.29
Rain,Jam,457.7,36.73
Snow,High,307.9,23.17
Clear,Jam,802.9,51.13
Snow,Low,609.4,23.98
Rain,Medium,387.2,19.58
Snow,High,1159.5,103.0
Snow,High,1140.6,81.98
Clear,Low,416.7,10.97
Storm,High,1045.2,105.54
Clear,Low,1024.1,27.9
Rain,Low,547.0,23.32
Rain,Low,1211.2,52.01
Clear,Jam,465.8,31.5
Clear,Low,109.8,3.23
Snow,Low,632.3,31.41
Fog,Medium,627.9,27.72
Rain,Medium,1418.1,66.56
Fog,Jam,1450.5,126.53
Storm,Low,447.8,23.48
Clear,Medium,970.9,31.43
Fog,Medium,947.5,45.03
Fog,Medium,736.2,30.6
Snow,Jam,1332.5,136.58
Rain,Low,1038.7,39.06
Snow,Medium,914.9,62.38
Snow,High,655.4,41.89
Rain,Low,275.9,10.94
Clear,Medium,488.2,16.03
Snow,Low,724.3,35.32
Storm,High,280.0,29.22
Rain,Jam,761.8,67.86
Rain,Jam,295.4,23.89
Rain,High,1050.8,61.05
Snow,Medium,1336.1,76.02
Snow,Low,124.9,5.89
Storm,Medium,380.3,22.99
Snow,Jam,408.4,48.91
Storm,Jam,618.7,66.74
Snow,High,1225.0,92.03
Storm,Medium,1374.6,96.03
Storm,Jam,373.7,47.27
Rain,High,1199.3,71.34
Clear,Medium,1246.5,46.15
Rain,Jam,57.8,4.62
Clear,High,958.2,39.64
Storm,High,774.8,66.22
Storm,Low,9.0,0.64
Snow,Medium,702.6,35.32
Rain,Medium,531.4,25.47
Clear,Low,898.6,22.2
Snow,Jam,187.0,20.68
Rain,Medium,1348.5,56.26
Fog,Medium,1032.0,48.55
Storm,High,409.8,46.05
Fog,Low,95.5,3.72
Snow,Jam,22.5,2.61
Fog,Jam,1047.4,102.35
Clear,Low,1092.7,34.9
Rain,High,1045.9,52.19
Clear,Jam,496.9,29.85
Storm,Jam,876.4,112.43
Fog,Medium,1413.6,62.8
Storm,High,1458.2,154.28
Fog,High,406.9,30.52
Clear,Jam,780.3,55.64
Storm,High,311.8,34.17
Storm,Low,597.9,40.33
Rain,High,708.5,42.69
Clear,Jam,723.7,42.24
Storm,Jam,10.9,1.5
Snow,Low,804.4,43.35
Storm,High,496.0,49.2
Rain,Medium,1210.4,61.01
Fog,Medium,1190.7,61.03
Rain,Medium,1352.3,58.13
Fog,Jam,663.8,55.37
Storm,Jam,1162.4,135.98
Fog,Jam,629.9,47.53
Clear,Jam,842.6,60.31
Snow,Jam,685.1,78.85
Rain,Medium,569.6,25.39
Snow,High,685.7,55.14
Snow,High,1265.9,94.8
Fog,Jam,290.6,26.18
Clear,Low,137.9,3.28
Snow,High,780.0,61.82
Fog,Low,1447.6,59.94
Snow,Low,1028.0,52.42
Storm,Jam,1432.3,167.89
Snow,Jam,126.9,14.04
Clear,Low,598.9,18.25
Clear,Low,876.3,23.0
Snow,Low,1386.6,74.02
Storm,High,1437.1,120.83
Snow,Low,501.2,24.06
Snow,Jam,1397.0,165.94
Storm,Medium,1127.2,73.25
Snow,Jam,223.6,24.36
Snow,High,1217.7,101.76
Snow,Jam,347.9,30.05
Clear,Medium,1138.4,42.96
Snow,Medium,1128.8,73.28
Fog,Medium,1385.4,69.01
Snow,High,240.5,18.04
Storm,High,209.9,22.09
Rain,Jam,178.2,17.13
Clear,High,627.8,23.36
Storm,High,534.0,50.3
Clear,Medium,547.2,21.92
Rain,Medium,240.5,12.4
Fog,Low,1423.5,52.32
Rain,High,1086.2,60.59
Snow,Medium,1047.3,53.57
Rain,High,1352.5,101.15
Storm,Jam,476.9,53.64
Snow,Jam,762.1,86.97
Rain,High,929.0,52.93
Clear,Medium,297.1,10.79
Fog,Jam,1047.6,88.4
Snow,High,174.0,11.15
Clear,High,698.4,27.56
Fog,Jam,240.9,18.37
Storm,High,657.1,62.82
Storm,High,602.1,66.71
Clear,Medium,1244.2,38.07
Clear,Low,1310.4,43.1
Snow,High,1143.1,81.51
Clear,Low,63.7,1.79
Clear,High,1038.1,51.9
Storm,Low,725.7,51.87
Fog,Low,957.9,35.21
Fog,Jam,267.9,20.94
Fog,Medium,1345.1,74.01
Storm,Medium,385.8,25.04
Storm,Jam,639.5,93.52
Fog,Jam,927.2,70.86
Snow,Medium,291.3,20.25
Storm,High,315.5,33.76
Fog,Jam,627.0,55.7
Clear,High,715.6,28.92
Clear,Low,62.2,1.74
Rain,Jam,481.5,44.99
Fog,Medium,206.2,9.98
Rain,Medium,1282.8,63.72
Fog,Low,148.9,5.88
Rain,Low,656.3,24.28
Fog,High,1140.6,64.63
Clear,High,46.1,1.79
Fog,High,174.4,10.8
Snow,Jam,1186.7,125.3
Clear,High,910.9,45.84
Snow,Medium,389.9,19.51
Clear,Low,979.6,29.75
Snow,Medium,30.8,1.95
Storm,Medium,1044.7,88.48
Storm,Medium,721.8,55.39
Rain,High,53.5,3.38
Rain,Jam,41.9,3.71
Fog,Low,503.7,22.98
Clear,Medium,231.5,7.39
Storm,High,1181.6,110.65
Storm,Medium,941.2,70.11
Rain,High,1238.8,79.32
Fog,Low,1492.1,62.75
Snow,High,1320.0,106.23
Fog,High,814.6,53.77
Clear,Jam,218.9,13.04
Rain,Medium,470.8,21.04
Clear,Jam,123.3,7.01
Snow,High,1053.8,101.05
Storm,Jam,411.8,58.37
Rain,Low,888.6,32.12
Storm,Medium,873.6,64.9
Storm,Jam,396.0,43.61
Snow,Low,193.8,11.82
Rain,Low,1127.6,41.17
Fog,Low,1453.4,62.22
Storm,Low,311.0,19.36
Clear,Low,858.9,27.19
Storm,Jam,1109.9,149.33
Rain,High,1050.0,63.04
Rain,High,7.0,0.43
Fog,High,450.8,27.89
Clear,Low,1028.7,33.9
Snow,High,689.1,63.52
Fog,Medium,682.4,31.62
Clear,Jam,19.8,1.03
Snow,Medium,444.8,28.24
Clear,Jam,769.9,40.0
Fog,Jam,1308.3,128.94
Rain,High,148.1,10.43
Fog,Jam,1034.8,87.49
Snow,High,288.3,23.83
Rain,High,722.2,42.83
Fog,Low,518.6,20.91
Rain,Medium,81.8,4.09
Storm,Jam,11.1,1.45
Fog,Medium,593.6,27.59
Storm,Jam,1465.1,169.79
Storm,High,858.6,95.57
Rain,Medium,1422.1,67.12
Clear,Jam,121.1,6.57
Fog,Medium,653.7,32.02
Clear,Low,148.5,4.38
Rain,Jam,978.8,97.46
Storm,Low,1386.2,72.55
Snow,High,261.8,22.43
Storm,Low,708.3,37.35
Rain,Jam,348.6,31.78
Clear,Low,717.6,21.37
Storm,High,829.9,67.42
Snow,High,935.1,69.94
Clear,Low,105.4,3.1
Clear,Medium,746.5,26.32
Fog,Jam,1410.0,151.54
Clear,Medium,1158.5,41.72
Rain,High,1265.8,64.79
Clear,Jam,1288.5,65.75
Fog,Jam,843.6,69.09
Fog,Low,1161.4,41.24
Fog,High,497.2,29.43
Clear,Medium,470.6,16.47
Snow,Low,534.4,22.74
Clear,Low,125.4,3.54
Clear,High,128.9,7.0
Clear,High,1102.7,42.85
Clear,Low,1468.7,47.59
Rain,High,935.4,59.82
Storm,Medium,115.2,7.52
Clear,Low,607.9,18.51
Fog,High,1241.2,80.0
Storm,Jam,815.8,96.27
Fog,High,1042.3,68.52
Storm,Jam,1183.5,135.89
Snow,Jam,1179.1,122.08
Snow,Jam,40.8,5.17
Rain,Medium,512.2,22.65
Snow,Jam,449.9,54.59
Storm,Medium,397.1,27.6
Rain,Medium,1473.1,64.2
Fog,Jam,149.6,13.12
Clear,High,1449.2,61.18
Rain,Low,1331.8,43.76
Rain,Low,1437.7,57.45
Storm,Jam,627.4,107.7
Rain,High,1269.5,89.57
Rain,High,726.7,36.84
Clear,Low,367.0,10.24
Rain,High,1308.5,78.18
Rain,High,805.2,46.0
Clear,Low,379.3,9.11
Snow,Low,1102.1,55.5
Storm,High,572.2,67.16
Rain,Medium,207.9,9.59
Fog,Medium,939.6,52.52
Clear,Medium,1288.2,41.13
Clear,Jam,200.7,11.86
Fog,Low,465.8,17.46
Snow,High,1044.1,88.55
Storm,Jam,1186.1,177.82
Storm,Medium,45.1,3.93
Fog,Low,965.9,39.3
Snow,Medium,234.1,14.17
Fog,Medium,1176.5,55.36
Fog,Low,1371.5,54.09
Storm,High,743.5,79.13
Fog,Low,210.3,9.03
Storm,Medium,1156.6,82.99
Rain,Jam,1267.6,85.19
Clear,Jam,50.1,3.49
Fog,High,834.3,52.28
Fog,Low,1095.3,40.68
Snow,Low,868.6,39.59
Rain,High,653.4,46.17
Clear,Low,1056.1,29.29
Rain,High,1289.3,77.99
Rain,Low,469.1,19.08
Storm,Medium,579.9,39.05
Fog,Jam,211.9,21.99
Rain,High,491.6,32.19
Clear,Jam,1203.1,77.91
Clear,High,232.8,11.89
Storm,Low,244.7,12.7
Clear,Medium,619.0,21.4
Rain,Jam,1398.6,113.47
Rain,High,1093.5,56.99
Clear,Low,952.3,28.93
Fog,Medium,940.0,41.61
Fog,Low,1285.1,55.68
Storm,Medium,795.2,61.96
Clear,Low,1178.0,37.65
Fog,Jam,916.1,68.13
Fog,Medium,505.3,23.15
Storm,High,796.2,73.61
Rain,Jam,317.0,20.48
Clear,High,896.6,37.7
Storm,Medium,877.8,75.54
Snow,High,976.6,70.78
Storm,Jam,914.6,115.03
Clear,Medium,1083.9,37.53
Rain,High,402.2,22.04
Rain,Low,761.7,25.8
Clear,Jam,136.2,6.6
Snow,Low,687.2,30.36
Rain,Low,822.2,34.48
Rain,Low,78.7,3.26
Rain,High,911.1,58.41
Snow,Low,273.0,13.88
Fog,Low,739.9,30.06
Rain,Jam,960.6,69.47
Storm,Jam,59.0,8.75
Fog,High,800.1,51.29
Snow,High,1270.6,102.02
Storm,Jam,606.9,69.02
Fog,Low,1267.6,47.6
Clear,High,399.7,20.15
Clear,High,247.2,10.52
Clear,High,765.5,32.46
Fog,High,864.4,65.44
Snow,Low,863.2,47.32
Fog,Low,981.7,43.22
Clear,Medium,263.5,9.3
Fog,High,1090.6,72.45
Snow,Medium,53.6,3.01
Clear,Low,125.6,3.83
Fog,Low,1340.3,53.66
Snow,Medium,229.8,14.17
Storm,High,667.4,58.69
Snow,Jam,725.8,68.74
Snow,Medium,531.2,30.91
Storm,Medium,1383.3,95.76
Clear,High,85.4,4.03
Clear,Jam,633.0,33.63
Rain,Medium,844.8,45.01
Snow,Low,66.2,3.72
Fog,Medium,515.9,29.65
Rain,Medium,940.5,41.77
Snow,High,639.8,49.5
Storm,Low,691.3,46.56
Rain,High,346.2,20.46
Clear,Jam,1282.1,70.77
Storm,Jam,777.3,90.96
Clear,High,104.3,4.84
Rain,Medium,305.2,15.38
Storm,High,595.9,61.44
Fog,Medium,279.1,14.91
Clear,Jam,46.4,2.82
Storm,Jam,1303.8,169.02
Clear,Medium,1257.2,47.09
Snow,Jam,1248.3,123.54
Rain,Jam,877.3,59.38
Clear,Jam,788.0,49.98
Clear,Medium,1393.8,55.7
Storm,Jam,900.7,97.68
Storm,Low,178.8,10.57
Storm,Jam,9.0,1.01
Clear,Jam,701.3,50.22
Fog,Medium,1275.9,65.57
Storm,Medium,505.3,40.46
Fog,Low,471.4,20.05
Clear,Low,752.1,23.11
Clear,Jam,1376.0,88.43
Storm,Medium,1451.8,106.34
Clear,Low,30.5,0.96
Rain,Low,643.1,25.4
Rain,High,159.1,9.28
Snow,High,779.5,59.81
Clear,Low,1327.2,37.01
Fog,High,577.3,42.13
Fog,Low,1121.6,44.65
Fog,Medium,144.1,8.04
Fog,Low,799.1,37.34
Rain,Low,200.3,7.15
Rain,High,590.5,31.35
Snow,High,1133.7,102.1
Snow,Medium,164.5,9.75
Fog,Jam,285.1,27.71
Fog,High,1481.7,96.68
Snow,Jam,1118.7,117.6
Clear,Medium,604.3,22.11
Clear,High,489.2,26.49
Snow,Low,1460.1,63.59
Storm,Jam,784.9,104.32
Clear,Medium,715.6,25.86
Snow,Medium,1029.7,64.47
Snow,Medium,105.6,7.3
Fog,High,1076.3,73.75
Snow,Low,300.2,12.64
Fog,Jam,5.1,0.45
Snow,Low,553.7,24.91
Rain,Medium,482.1,22.89
Storm,Low,69.1,4.14
Storm,Jam,1416.9,180.22
Clear,Jam,514.0,35.27
Fog,Medium,1394.9,66.38
Snow,High,179.2,14.82
Clear,Low,78.0,2.38
Storm,Medium,102.6,7.86
Storm,Low,348.6,19.24
Clear,Medium,353.3,11.48
Storm,Low,790.7,45.1
Fog,Low,121.9,4.43
Snow,Medium,132.4,7.58
Rain,Medium,99.6,4.57
Storm,Jam,1024.6,145.21
Rain,Jam,532.6,42.87
Fog,Jam,1251.9,106.43
Snow,Low,1024.2,41.46
Fog,Low,513.5,20.24
Clear,Medium,625.0,23.04
Fog,Jam,92.0,7.83
Storm,Low,655.5,44.07
Fog,High,808.5,51.74
Clear,Jam,1494.9,78.13
Storm,Medium,305.4,22.34
Clear,Low,1434.6,38.75
Snow,Medium,1175.4,80.5
Clear,Jam,1336.2,69.76
Clear,Medium,1030.9,38.21
Rain,Low,407.8,17.5
Clear,Medium,274.4,8.99
Rain,Medium,484.2,21.69
Storm,High,255.1,22.72
Snow,Jam,176.4,17.06
Rain,High,1144.7,72.74
Clear,High,904.8,43.58
Clear,Jam,477.4,32.89
Fog,High,173.5,12.06
Clear,Low,1475.9,42.77
Rain,Low,986.7,37.76
Fog,Jam,1489.8,133.96
Rain,Jam,184.5,13.31
Storm,High,239.4,22.42
Clear,Low,796.1,22.14
Rain,Jam,1338.8,113.69
Snow,High,1492.5,145.29
Fog,Medium,654.3,32.07
Fog,Low,991.0,45.88
Fog,Medium,698.6,39.29
Snow,High,231.3,20.29
Storm,Jam,965.3,159.18
Snow,Low,814.6,45.49
Snow,Medium,586.0,30.7
Snow,Jam,897.8,94.83
Storm,Jam,522.2,62.63
Storm,Jam,1340.7,198.66
Fog,Low,771.8,31.4
Fog,Low,1099.4,44.06
Snow,Low,1227.1,64.48
Storm,Jam,898.4,119.7
Fog,High,450.8,29.32
Rain,Low,129.2,4.98
Clear,High,362.8,20.4
Storm,Low,874.3,49.52
Fog,Jam,757.6,56.52
Snow,Jam,500.7,40.32
Clear,High,1392.2,59.31
Storm,Jam,1270.9,211.19
Clear,Medium,557.4,17.89
Snow,Medium,258.2,16.83
Storm,Medium,353.6,25.5
Fog,Medium,217.8,10.01
Storm,Medium,791.7,57.99
Fog,Medium,918.0,46.47
Storm,Jam,991.3,121.88
Snow,Low,1068.0,54.03
Fog,High,206.9,11.83
Storm,High,981.1,90.15
Fog,Jam,437.5,34.89
Fog,Medium,1332.4,69.74
Clear,Medium,1054.5,34.93
Fog,Medium,173.2,9.38
Rain,High,106.7,7.27
Storm,Low,122.1,8.37
Rain,High,1030.4,65.41
Snow,Low,813.0,43.3
Clear,Jam,498.2,28.39
Rain,Low,524.6,22.52
Clear,Jam,1260.6,73.47
Fog,Medium,440.9,23.15
Rain,Jam,15.4,1.61
Rain,Low,919.6,36.33
Clear,High,1145.4,51.44
Clear,High,1093.6,43.89
Storm,Low,971.6,58.87
Snow,Low,299.2,17.19
Rain,Jam,1437.0,110.1
Snow,Low,334.8,17.33
Clear,High,1406.9,55.14
Storm,High,653.7,60.71
Clear,Medium,287.0,9.38
Storm,Jam,903.8,107.55
Storm,Jam,79.7,10.52
Clear,Jam,862.5,55.28
Storm,Jam,1401.9,215.17
Fog,High,262.1,14.25
Clear,Low,82.6,2.34
Clear,Medium,803.8,26.01
Fog,Low,1145.8,44.84
Fog,High,1075.0,60.79
Storm,High,1046.5,120.81
Snow,Jam,443.1,48.35
Storm,Low,1058.3,70.08
Clear,Medium,1136.5,34.67
Storm,Jam,232.2,26.33
Fog,Medium,645.2,31.07
Fog,Medium,407.8,19.67
Storm,Jam,1390.4,170.67
Snow,Jam,935.4,88.01
Storm,Low,1408.8,76.09
Snow,High,844.4,72.19
Rain,High,838.6,52.92
Snow,Medium,1119.8,66.18
Storm,Low,899.8,59.57
Storm,Jam,1485.9,158.76
Storm,Low,537.4,33.4
Clear,Jam,1470.8,96.51
Snow,Low,561.4,32.63
Storm,High,1052.4,107.21
Rain,High,494.1,29.75
Clear,Medium,698.0,23.73
Fog,Medium,1120.6,56.71
Clear,Jam,1369.0,84.34
Clear,Jam,161.6,8.86
Rain,Jam,94.0,7.0
Fog,Jam,714.9,73.15
Fog,Low,544.0,22.97
Snow,Medium,203.8,11.14
Snow,Jam,922.0,91.08
Clear,Low,1326.9,37.9
Clear,High,89.1,3.86
Storm,High,587.6,43.58
Storm,Medium,243.5,18.42
Snow,Medium,1339.1,76.74
Fog,Jam,306.2,23.63
Clear,High,1256.1,48.53
Storm,Jam,688.9,100.58
Storm,Jam,220.3,28.7
Clear,Medium,684.2,22.03
Rain,High,1302.9,76.48
Clear,Jam,450.8,23.71
Fog,Medium,866.1,43.82
Fog,High,925.3,62.08
Storm,Medium,1459.8,119.84
Fog,Jam,297.6,25.84
Storm,Low,21.0,1.31
Fog,Jam,325.7,26.42
Storm,Jam,525.9,66.93
Clear,High,785.2,33.31
Storm,Low,768.2,48.33
Rain,High,368.9,21.09
Fog,Medium,1403.5,65.46
Fog,High,74.7,4.46
Storm,Jam,816.1,82.74
Fog,Medium,1115.7,57.26
Rain,Jam,505.5,49.04
Rain,Jam,671.6,62.51
Fog,High,1412.3,85.76
Rain,Low,944.7,36.92
Storm,Low,101.9,6.39
Storm,Medium,1137.1,74.62
Rain,Medium,620.2,29.53
Fog,Low,1105.2,45.6
Fog,Jam,883.2,94.64
Snow,Low,449.9,21.57
Rain,High,1139.0,75.29
Rain,Medium,208.3,8.71
Storm,Medium,630.0,40.84
Fog,Low,1436.9,61.46
Rain,Medium,1078.7,47.45
Storm,High,190.5,20.33
Snow,High,1480.1,101.35
Fog,Medium,315.1,17.52
Fog,Low,337.8,13.88
Fog,Jam,576.7,46.72
Storm,Jam,850.3,107.01
Snow,Low,85.8,4.24
Storm,Medium,1495.7,90.6
Snow,Low,1269.7,67.01
Fog,Jam,910.7,79.49
Clear,Jam,535.5,35.9
Clear,Jam,990.0,46.8
Rain,Medium,46.7,2.1
Snow,High,838.9,64.36
Snow,Medium,1375.4,85.73
Clear,Jam,868.1,44.26
Clear,Jam,363.7,22.51
Clear,Medium,572.7,20.58
Clear,High,804.4,36.48
Snow,High,321.6,32.23
Snow,Jam,649.6,69.05
Storm,High,1393.0,113.96
